Timestamp,RTU_F2_TAC CEAT_o(°F),RTU_F2_TAC SAT_o(°F)
30-Nov-23 11:00 PM EST,73,81
01-Dec-23 12:00 AM EST,73,75
01-Dec-23 1:00 AM EST,73,76
01-Dec-23 2:00 AM EST,73,84
01-Dec-23 3:00 AM EST,73,86
01-Dec-23 4:00 AM EST,73,79
01-Dec-23 5:00 AM EST,73,72
01-Dec-23 6:00 AM EST,73,73
01-Dec-23 7:00 AM EST,73,77
01-Dec-23 8:00 AM EST,73,82
01-Dec-23 9:00 AM EST,73,78
01-Dec-23 10:00 AM EST,73,69
01-Dec-23 11:00 AM EST,73,77
01-Dec-23 12:00 PM EST,73,73
01-Dec-23 1:00 PM EST,73,78
01-Dec-23 2:00 PM EST,73,79
01-Dec-23 3:00 PM EST,73,78
01-Dec-23 4:00 PM EST,73,79
01-Dec-23 5:00 PM EST,73,80
01-Dec-23 6:00 PM EST,73,79
01-Dec-23 7:00 PM EST,73,78
01-Dec-23 8:00 PM EST,73,74
01-Dec-23 9:00 PM EST,74,75
01-Dec-23 10:00 PM EST,73,79
01-Dec-23 11:00 PM EST,73,77
02-Dec-23 12:00 AM EST,73,78
02-Dec-23 1:00 AM EST,73,75
02-Dec-23 2:00 AM EST,73,81
02-Dec-23 3:00 AM EST,73,80
02-Dec-23 4:00 AM EST,73,78
02-Dec-23 5:00 AM EST,73,76
02-Dec-23 6:00 AM EST,73,75
02-Dec-23 7:00 AM EST,73,79
02-Dec-23 8:00 AM EST,73,76
02-Dec-23 9:00 AM EST,73,77
02-Dec-23 10:00 AM EST,73,82
02-Dec-23 11:00 AM EST,73,74
02-Dec-23 12:00 PM EST,74,72
02-Dec-23 1:00 PM EST,73,64
02-Dec-23 2:00 PM EST,72,65
02-Dec-23 3:00 PM EST,72,65
02-Dec-23 4:00 PM EST,72,65
02-Dec-23 5:00 PM EST,72,63
02-Dec-23 6:00 PM EST,73,81
02-Dec-23 7:00 PM EST,73,83
02-Dec-23 8:00 PM EST,73,76
02-Dec-23 9:00 PM EST,74,73
02-Dec-23 10:00 PM EST,73,80
02-Dec-23 11:00 PM EST,73,77
03-Dec-23 12:00 AM EST,73,77
03-Dec-23 1:00 AM EST,73,76
03-Dec-23 2:00 AM EST,73,74
03-Dec-23 3:00 AM EST,73,81
03-Dec-23 4:00 AM EST,73,75
03-Dec-23 5:00 AM EST,73,79
03-Dec-23 6:00 AM EST,73,77
03-Dec-23 7:00 AM EST,74,77
03-Dec-23 8:00 AM EST,74,79
03-Dec-23 9:00 AM EST,74,81
03-Dec-23 10:00 AM EST,73,73
03-Dec-23 11:00 AM EST,74,78
03-Dec-23 12:00 PM EST,74,81
03-Dec-23 1:00 PM EST,74,76
03-Dec-23 2:00 PM EST,74,81
03-Dec-23 3:00 PM EST,74,74
03-Dec-23 4:00 PM EST,74,80
03-Dec-23 5:00 PM EST,74,79
03-Dec-23 6:00 PM EST,74,80
03-Dec-23 7:00 PM EST,74,80
03-Dec-23 8:00 PM EST,74,76
03-Dec-23 9:00 PM EST,74,78
03-Dec-23 10:00 PM EST,74,79
03-Dec-23 11:00 PM EST,74,78
04-Dec-23 12:00 AM EST,74,81
04-Dec-23 1:00 AM EST,74,80
04-Dec-23 2:00 AM EST,74,81
04-Dec-23 3:00 AM EST,74,79
04-Dec-23 4:00 AM EST,74,75
04-Dec-23 5:00 AM EST,74,82
04-Dec-23 6:00 AM EST,74,76
04-Dec-23 7:00 AM EST,74,82
04-Dec-23 8:00 AM EST,74,77
04-Dec-23 9:00 AM EST,73,76
04-Dec-23 10:00 AM EST,73,76
04-Dec-23 11:00 AM EST,74,81
04-Dec-23 12:00 PM EST,74,79
04-Dec-23 1:00 PM EST,74,78
04-Dec-23 2:00 PM EST,73,79
04-Dec-23 3:00 PM EST,74,84
04-Dec-23 4:00 PM EST,74,74
04-Dec-23 5:00 PM EST,74,79
04-Dec-23 6:00 PM EST,73,79
04-Dec-23 7:00 PM EST,73,78
04-Dec-23 8:00 PM EST,73,81
04-Dec-23 9:00 PM EST,74,79
04-Dec-23 10:00 PM EST,74,80
04-Dec-23 11:00 PM EST,74,79
05-Dec-23 12:00 AM EST,74,75
05-Dec-23 1:00 AM EST,73,72
05-Dec-23 2:00 AM EST,73,78
05-Dec-23 3:00 AM EST,73,74
05-Dec-23 4:00 AM EST,73,76
05-Dec-23 5:00 AM EST,73,78
05-Dec-23 6:00 AM EST,73,74
05-Dec-23 7:00 AM EST,73,79
05-Dec-23 8:00 AM EST,73,81
05-Dec-23 9:00 AM EST,73,78
05-Dec-23 10:00 AM EST,73,86
05-Dec-23 11:00 AM EST,73,76
05-Dec-23 12:00 PM EST,74,71
05-Dec-23 1:00 PM EST,73,81
05-Dec-23 2:00 PM EST,73,82
05-Dec-23 3:00 PM EST,73,72
05-Dec-23 4:00 PM EST,73,80
05-Dec-23 5:00 PM EST,73,73
05-Dec-23 6:00 PM EST,73,75
05-Dec-23 7:00 PM EST,73,74
05-Dec-23 8:00 PM EST,73,80
05-Dec-23 9:00 PM EST,73,87
05-Dec-23 10:00 PM EST,73,79
05-Dec-23 11:00 PM EST,73,85
06-Dec-23 12:00 AM EST,73,72
06-Dec-23 1:00 AM EST,73,77
06-Dec-23 2:00 AM EST,73,81
06-Dec-23 3:00 AM EST,73,78
06-Dec-23 4:00 AM EST,73,84
06-Dec-23 5:00 AM EST,73,76
06-Dec-23 6:00 AM EST,73,81
06-Dec-23 7:00 AM EST,73,82
06-Dec-23 8:00 AM EST,73,75
06-Dec-23 9:00 AM EST,73,80
06-Dec-23 10:00 AM EST,73,83
06-Dec-23 11:00 AM EST,73,72
06-Dec-23 12:00 PM EST,73,82
06-Dec-23 1:00 PM EST,73,74
06-Dec-23 2:00 PM EST,73,79
06-Dec-23 3:00 PM EST,73,81
06-Dec-23 4:00 PM EST,73,79
06-Dec-23 5:00 PM EST,73,83
06-Dec-23 6:00 PM EST,73,78
06-Dec-23 7:00 PM EST,73,73
06-Dec-23 8:00 PM EST,73,82
06-Dec-23 9:00 PM EST,73,88
06-Dec-23 10:00 PM EST,73,76
06-Dec-23 11:00 PM EST,73,83
07-Dec-23 12:00 AM EST,73,81
07-Dec-23 1:00 AM EST,73,79
07-Dec-23 2:00 AM EST,73,75
07-Dec-23 3:00 AM EST,73,84
07-Dec-23 4:00 AM EST,73,85
07-Dec-23 5:00 AM EST,73,91
07-Dec-23 6:00 AM EST,73,85
07-Dec-23 7:00 AM EST,73,75
07-Dec-23 8:00 AM EST,73,82
07-Dec-23 9:00 AM EST,73,89
07-Dec-23 10:00 AM EST,73,83
07-Dec-23 11:00 AM EST,73,80
07-Dec-23 12:00 PM EST,73,71
07-Dec-23 1:00 PM EST,73,89
07-Dec-23 2:00 PM EST,73,72
07-Dec-23 3:00 PM EST,73,85
07-Dec-23 4:00 PM EST,73,75
07-Dec-23 5:00 PM EST,73,76
07-Dec-23 6:00 PM EST,73,82
07-Dec-23 7:00 PM EST,73,84
07-Dec-23 8:00 PM EST,73,77
07-Dec-23 9:00 PM EST,73,73
07-Dec-23 10:00 PM EST,73,87
07-Dec-23 11:00 PM EST,73,79
08-Dec-23 12:00 AM EST,73,86
08-Dec-23 1:00 AM EST,73,82
08-Dec-23 2:00 AM EST,73,86
08-Dec-23 3:00 AM EST,73,86
08-Dec-23 4:00 AM EST,73,83
08-Dec-23 5:00 AM EST,73,86
08-Dec-23 6:00 AM EST,73,86
08-Dec-23 7:00 AM EST,73,82
08-Dec-23 8:00 AM EST,73,84
08-Dec-23 9:00 AM EST,73,74
08-Dec-23 10:00 AM EST,73,78
08-Dec-23 11:00 AM EST,73,81
08-Dec-23 12:00 PM EST,74,85
08-Dec-23 1:00 PM EST,74,83
08-Dec-23 2:00 PM EST,74,82
08-Dec-23 3:00 PM EST,74,81
08-Dec-23 4:00 PM EST,74,81
08-Dec-23 5:00 PM EST,74,80
08-Dec-23 6:00 PM EST,74,81
08-Dec-23 7:00 PM EST,74,82
08-Dec-23 8:00 PM EST,74,81
08-Dec-23 9:00 PM EST,74,80
08-Dec-23 10:00 PM EST,74,79
08-Dec-23 11:00 PM EST,74,81
09-Dec-23 12:00 AM EST,74,79
09-Dec-23 1:00 AM EST,73,75
09-Dec-23 2:00 AM EST,73,77
09-Dec-23 3:00 AM EST,74,83
09-Dec-23 4:00 AM EST,73,78
09-Dec-23 5:00 AM EST,74,85
09-Dec-23 6:00 AM EST,73,68
09-Dec-23 7:00 AM EST,73,80
