Timestamp,RTU_G1_TAC CEAT_o(°F),RTU_G1_TAC SAT_o(°F)
30-Nov-23 11:00 PM EST,74,82
01-Dec-23 12:00 AM EST,74,82
01-Dec-23 1:00 AM EST,74,82
01-Dec-23 2:00 AM EST,73,73
01-Dec-23 3:00 AM EST,73,83
01-Dec-23 4:00 AM EST,73,84
01-Dec-23 5:00 AM EST,73,80
01-Dec-23 6:00 AM EST,73,84
01-Dec-23 7:00 AM EST,74,83
01-Dec-23 8:00 AM EST,73,76
01-Dec-23 9:00 AM EST,74,84
01-Dec-23 10:00 AM EST,74,84
01-Dec-23 11:00 AM EST,74,82
01-Dec-23 12:00 PM EST,74,82
01-Dec-23 1:00 PM EST,74,81
01-Dec-23 2:00 PM EST,74,83
01-Dec-23 3:00 PM EST,74,82
01-Dec-23 4:00 PM EST,74,80
01-Dec-23 5:00 PM EST,74,80
01-Dec-23 6:00 PM EST,74,81
01-Dec-23 7:00 PM EST,74,82
01-Dec-23 8:00 PM EST,74,82
01-Dec-23 9:00 PM EST,74,79
01-Dec-23 10:00 PM EST,74,79
01-Dec-23 11:00 PM EST,74,81
02-Dec-23 12:00 AM EST,74,80
02-Dec-23 1:00 AM EST,74,82
02-Dec-23 2:00 AM EST,74,81
02-Dec-23 3:00 AM EST,74,81
02-Dec-23 4:00 AM EST,74,82
02-Dec-23 5:00 AM EST,74,82
02-Dec-23 6:00 AM EST,74,82
02-Dec-23 7:00 AM EST,74,80
02-Dec-23 8:00 AM EST,74,81
02-Dec-23 9:00 AM EST,74,82
02-Dec-23 10:00 AM EST,74,81
02-Dec-23 11:00 AM EST,74,80
02-Dec-23 12:00 PM EST,74,79
02-Dec-23 1:00 PM EST,74,77
02-Dec-23 2:00 PM EST,74,81
02-Dec-23 3:00 PM EST,74,78
02-Dec-23 4:00 PM EST,74,78
02-Dec-23 5:00 PM EST,75,77
02-Dec-23 6:00 PM EST,74,77
02-Dec-23 7:00 PM EST,74,80
02-Dec-23 8:00 PM EST,74,80
02-Dec-23 9:00 PM EST,75,73
02-Dec-23 10:00 PM EST,74,77
02-Dec-23 11:00 PM EST,74,75
03-Dec-23 12:00 AM EST,74,78
03-Dec-23 1:00 AM EST,74,78
03-Dec-23 2:00 AM EST,74,79
03-Dec-23 3:00 AM EST,74,80
03-Dec-23 4:00 AM EST,74,76
03-Dec-23 5:00 AM EST,74,81
03-Dec-23 6:00 AM EST,74,79
03-Dec-23 7:00 AM EST,74,78
03-Dec-23 8:00 AM EST,74,77
03-Dec-23 9:00 AM EST,74,78
03-Dec-23 10:00 AM EST,74,78
03-Dec-23 11:00 AM EST,74,77
03-Dec-23 12:00 PM EST,74,77
03-Dec-23 1:00 PM EST,74,77
03-Dec-23 2:00 PM EST,74,78
03-Dec-23 3:00 PM EST,74,75
03-Dec-23 4:00 PM EST,75,76
03-Dec-23 5:00 PM EST,75,75
03-Dec-23 6:00 PM EST,74,76
03-Dec-23 7:00 PM EST,74,79
03-Dec-23 8:00 PM EST,74,74
03-Dec-23 9:00 PM EST,75,76
03-Dec-23 10:00 PM EST,74,76
03-Dec-23 11:00 PM EST,74,79
04-Dec-23 12:00 AM EST,74,79
04-Dec-23 1:00 AM EST,74,80
04-Dec-23 2:00 AM EST,74,79
04-Dec-23 3:00 AM EST,74,79
04-Dec-23 4:00 AM EST,74,79
04-Dec-23 5:00 AM EST,74,79
04-Dec-23 6:00 AM EST,74,79
04-Dec-23 7:00 AM EST,74,79
04-Dec-23 8:00 AM EST,74,79
04-Dec-23 9:00 AM EST,74,80
04-Dec-23 10:00 AM EST,74,81
04-Dec-23 11:00 AM EST,74,80
04-Dec-23 12:00 PM EST,74,79
04-Dec-23 1:00 PM EST,74,79
04-Dec-23 2:00 PM EST,74,80
04-Dec-23 3:00 PM EST,74,80
04-Dec-23 4:00 PM EST,74,79
04-Dec-23 5:00 PM EST,74,78
04-Dec-23 6:00 PM EST,74,80
04-Dec-23 7:00 PM EST,74,81
04-Dec-23 8:00 PM EST,74,80
04-Dec-23 9:00 PM EST,74,77
04-Dec-23 10:00 PM EST,74,79
04-Dec-23 11:00 PM EST,74,81
05-Dec-23 12:00 AM EST,74,81
05-Dec-23 1:00 AM EST,74,80
05-Dec-23 2:00 AM EST,74,81
05-Dec-23 3:00 AM EST,74,81
05-Dec-23 4:00 AM EST,74,81
05-Dec-23 5:00 AM EST,74,75
05-Dec-23 6:00 AM EST,74,81
05-Dec-23 7:00 AM EST,74,79
05-Dec-23 8:00 AM EST,74,80
05-Dec-23 9:00 AM EST,74,81
05-Dec-23 10:00 AM EST,74,76
05-Dec-23 11:00 AM EST,74,81
05-Dec-23 12:00 PM EST,74,79
05-Dec-23 1:00 PM EST,74,80
05-Dec-23 2:00 PM EST,74,82
05-Dec-23 3:00 PM EST,74,78
05-Dec-23 4:00 PM EST,74,81
05-Dec-23 5:00 PM EST,74,80
05-Dec-23 6:00 PM EST,74,74
05-Dec-23 7:00 PM EST,74,83
05-Dec-23 8:00 PM EST,74,82
05-Dec-23 9:00 PM EST,74,78
05-Dec-23 10:00 PM EST,74,78
05-Dec-23 11:00 PM EST,74,81
06-Dec-23 12:00 AM EST,74,82
06-Dec-23 1:00 AM EST,74,84
06-Dec-23 2:00 AM EST,73,85
06-Dec-23 3:00 AM EST,73,87
06-Dec-23 4:00 AM EST,73,83
06-Dec-23 5:00 AM EST,73,82
06-Dec-23 6:00 AM EST,73,78
06-Dec-23 7:00 AM EST,74,82
06-Dec-23 8:00 AM EST,74,83
06-Dec-23 9:00 AM EST,74,83
06-Dec-23 10:00 AM EST,74,83
06-Dec-23 11:00 AM EST,74,82
06-Dec-23 12:00 PM EST,74,81
06-Dec-23 1:00 PM EST,74,82
06-Dec-23 2:00 PM EST,74,82
06-Dec-23 3:00 PM EST,74,81
06-Dec-23 4:00 PM EST,74,75
06-Dec-23 5:00 PM EST,74,81
06-Dec-23 6:00 PM EST,74,82
06-Dec-23 7:00 PM EST,74,84
06-Dec-23 8:00 PM EST,74,82
06-Dec-23 9:00 PM EST,74,80
06-Dec-23 10:00 PM EST,74,80
06-Dec-23 11:00 PM EST,74,83
07-Dec-23 12:00 AM EST,74,82
07-Dec-23 1:00 AM EST,74,83
07-Dec-23 2:00 AM EST,73,78
07-Dec-23 3:00 AM EST,74,84
07-Dec-23 4:00 AM EST,74,83
07-Dec-23 5:00 AM EST,74,84
07-Dec-23 6:00 AM EST,73,80
07-Dec-23 7:00 AM EST,73,80
07-Dec-23 8:00 AM EST,74,82
07-Dec-23 9:00 AM EST,74,83
07-Dec-23 10:00 AM EST,74,75
07-Dec-23 11:00 AM EST,74,84
07-Dec-23 12:00 PM EST,74,78
07-Dec-23 1:00 PM EST,74,82
07-Dec-23 2:00 PM EST,74,84
07-Dec-23 3:00 PM EST,74,82
07-Dec-23 4:00 PM EST,74,81
07-Dec-23 5:00 PM EST,74,81
07-Dec-23 6:00 PM EST,74,82
07-Dec-23 7:00 PM EST,73,84
07-Dec-23 8:00 PM EST,74,83
07-Dec-23 9:00 PM EST,74,81
07-Dec-23 10:00 PM EST,74,81
07-Dec-23 11:00 PM EST,74,82
08-Dec-23 12:00 AM EST,73,84
08-Dec-23 1:00 AM EST,73,85
08-Dec-23 2:00 AM EST,73,85
08-Dec-23 3:00 AM EST,73,85
08-Dec-23 4:00 AM EST,73,85
08-Dec-23 5:00 AM EST,73,85
08-Dec-23 6:00 AM EST,73,85
08-Dec-23 7:00 AM EST,73,84
08-Dec-23 8:00 AM EST,73,84
08-Dec-23 9:00 AM EST,73,79
08-Dec-23 10:00 AM EST,73,76
08-Dec-23 11:00 AM EST,74,83
08-Dec-23 12:00 PM EST,74,81
08-Dec-23 1:00 PM EST,74,82
08-Dec-23 2:00 PM EST,74,79
08-Dec-23 3:00 PM EST,74,81
08-Dec-23 4:00 PM EST,74,79
08-Dec-23 5:00 PM EST,74,79
08-Dec-23 6:00 PM EST,74,80
08-Dec-23 7:00 PM EST,74,83
08-Dec-23 8:00 PM EST,74,82
08-Dec-23 9:00 PM EST,74,79
08-Dec-23 10:00 PM EST,74,80
08-Dec-23 11:00 PM EST,74,81
09-Dec-23 12:00 AM EST,74,83
09-Dec-23 1:00 AM EST,74,77
09-Dec-23 2:00 AM EST,74,83
09-Dec-23 3:00 AM EST,74,82
09-Dec-23 4:00 AM EST,74,83
09-Dec-23 5:00 AM EST,74,82
09-Dec-23 6:00 AM EST,74,81
09-Dec-23 7:00 AM EST,74,77
09-Dec-23 8:00 AM EST,74,77
09-Dec-23 9:00 AM EST,74,82
09-Dec-23 10:00 AM EST,74,81
09-Dec-23 11:00 AM EST,74,80
09-Dec-23 12:00 PM EST,74,79
09-Dec-23 1:00 PM EST,74,80
09-Dec-23 2:00 PM EST,74,80
09-Dec-23 3:00 PM EST,74,80
09-Dec-23 4:00 PM EST,74,77
09-Dec-23 5:00 PM EST,74,78
