Timestamp,RTU_J2_TAC CEAT_o(°F),RTU_J2_TAC SAT_o(°F)
30-Nov-23 11:00 PM EST,73,87
01-Dec-23 12:00 AM EST,73,87
01-Dec-23 1:00 AM EST,73,87
01-Dec-23 2:00 AM EST,73,87
01-Dec-23 3:00 AM EST,73,86
01-Dec-23 4:00 AM EST,73,87
01-Dec-23 5:00 AM EST,73,87
01-Dec-23 6:00 AM EST,73,87
01-Dec-23 7:00 AM EST,73,87
01-Dec-23 8:00 AM EST,73,86
01-Dec-23 9:00 AM EST,73,85
01-Dec-23 10:00 AM EST,73,84
01-Dec-23 11:00 AM EST,73,85
01-Dec-23 12:00 PM EST,73,84
01-Dec-23 1:00 PM EST,73,85
01-Dec-23 2:00 PM EST,73,84
01-Dec-23 3:00 PM EST,73,84
01-Dec-23 4:00 PM EST,73,84
01-Dec-23 5:00 PM EST,73,85
01-Dec-23 6:00 PM EST,73,85
01-Dec-23 7:00 PM EST,73,84
01-Dec-23 8:00 PM EST,73,84
01-Dec-23 9:00 PM EST,73,85
01-Dec-23 10:00 PM EST,73,85
01-Dec-23 11:00 PM EST,73,85
02-Dec-23 12:00 AM EST,73,86
02-Dec-23 1:00 AM EST,73,86
02-Dec-23 2:00 AM EST,73,86
02-Dec-23 3:00 AM EST,73,86
02-Dec-23 4:00 AM EST,73,86
02-Dec-23 5:00 AM EST,73,86
02-Dec-23 6:00 AM EST,73,86
02-Dec-23 7:00 AM EST,73,86
02-Dec-23 8:00 AM EST,73,85
02-Dec-23 9:00 AM EST,73,82
02-Dec-23 10:00 AM EST,73,82
02-Dec-23 11:00 AM EST,73,82
02-Dec-23 12:00 PM EST,73,82
02-Dec-23 1:00 PM EST,74,83
02-Dec-23 2:00 PM EST,74,82
02-Dec-23 3:00 PM EST,74,83
02-Dec-23 4:00 PM EST,74,82
02-Dec-23 5:00 PM EST,74,82
02-Dec-23 6:00 PM EST,74,81
02-Dec-23 7:00 PM EST,74,81
02-Dec-23 8:00 PM EST,74,82
02-Dec-23 9:00 PM EST,74,82
02-Dec-23 10:00 PM EST,74,83
02-Dec-23 11:00 PM EST,74,83
03-Dec-23 12:00 AM EST,74,83
03-Dec-23 1:00 AM EST,74,83
03-Dec-23 2:00 AM EST,73,84
03-Dec-23 3:00 AM EST,73,84
03-Dec-23 4:00 AM EST,73,84
03-Dec-23 5:00 AM EST,74,83
03-Dec-23 6:00 AM EST,74,83
03-Dec-23 7:00 AM EST,74,82
03-Dec-23 8:00 AM EST,74,82
03-Dec-23 9:00 AM EST,74,82
03-Dec-23 10:00 AM EST,74,83
03-Dec-23 11:00 AM EST,74,84
03-Dec-23 12:00 PM EST,74,82
03-Dec-23 1:00 PM EST,74,81
03-Dec-23 2:00 PM EST,74,81
03-Dec-23 3:00 PM EST,74,81
03-Dec-23 4:00 PM EST,74,82
03-Dec-23 5:00 PM EST,74,81
03-Dec-23 6:00 PM EST,74,80
03-Dec-23 7:00 PM EST,74,81
03-Dec-23 8:00 PM EST,74,82
03-Dec-23 9:00 PM EST,74,82
03-Dec-23 10:00 PM EST,74,82
03-Dec-23 11:00 PM EST,74,83
04-Dec-23 12:00 AM EST,74,82
04-Dec-23 1:00 AM EST,74,83
04-Dec-23 2:00 AM EST,74,82
04-Dec-23 3:00 AM EST,74,82
04-Dec-23 4:00 AM EST,74,83
04-Dec-23 5:00 AM EST,74,83
04-Dec-23 6:00 AM EST,74,83
04-Dec-23 7:00 AM EST,74,83
04-Dec-23 8:00 AM EST,74,83
04-Dec-23 9:00 AM EST,74,82
04-Dec-23 10:00 AM EST,74,82
04-Dec-23 11:00 AM EST,74,82
04-Dec-23 12:00 PM EST,74,83
04-Dec-23 1:00 PM EST,74,83
04-Dec-23 2:00 PM EST,74,82
04-Dec-23 3:00 PM EST,74,82
04-Dec-23 4:00 PM EST,74,82
04-Dec-23 5:00 PM EST,74,82
04-Dec-23 6:00 PM EST,74,82
04-Dec-23 7:00 PM EST,74,79
04-Dec-23 8:00 PM EST,74,82
04-Dec-23 9:00 PM EST,74,82
04-Dec-23 10:00 PM EST,74,82
04-Dec-23 11:00 PM EST,74,83
05-Dec-23 12:00 AM EST,74,83
05-Dec-23 1:00 AM EST,74,83
05-Dec-23 2:00 AM EST,74,84
05-Dec-23 3:00 AM EST,74,84
05-Dec-23 4:00 AM EST,74,83
05-Dec-23 5:00 AM EST,74,84
05-Dec-23 6:00 AM EST,74,84
05-Dec-23 7:00 AM EST,74,83
05-Dec-23 8:00 AM EST,74,84
05-Dec-23 9:00 AM EST,74,83
05-Dec-23 10:00 AM EST,74,83
05-Dec-23 11:00 AM EST,74,82
05-Dec-23 12:00 PM EST,74,83
05-Dec-23 1:00 PM EST,74,82
05-Dec-23 2:00 PM EST,74,83
05-Dec-23 3:00 PM EST,74,80
05-Dec-23 4:00 PM EST,74,83
05-Dec-23 5:00 PM EST,74,83
05-Dec-23 6:00 PM EST,74,83
05-Dec-23 7:00 PM EST,74,83
05-Dec-23 8:00 PM EST,74,83
05-Dec-23 9:00 PM EST,73,84
05-Dec-23 10:00 PM EST,73,84
05-Dec-23 11:00 PM EST,73,85
06-Dec-23 12:00 AM EST,73,85
06-Dec-23 1:00 AM EST,73,85
06-Dec-23 2:00 AM EST,73,81
06-Dec-23 3:00 AM EST,73,83
06-Dec-23 4:00 AM EST,73,82
06-Dec-23 5:00 AM EST,73,83
06-Dec-23 6:00 AM EST,73,81
06-Dec-23 7:00 AM EST,73,81
06-Dec-23 8:00 AM EST,73,85
06-Dec-23 9:00 AM EST,73,85
06-Dec-23 10:00 AM EST,73,85
06-Dec-23 11:00 AM EST,73,84
06-Dec-23 12:00 PM EST,73,85
06-Dec-23 1:00 PM EST,74,83
06-Dec-23 2:00 PM EST,74,83
06-Dec-23 3:00 PM EST,73,82
06-Dec-23 4:00 PM EST,73,86
06-Dec-23 5:00 PM EST,73,85
06-Dec-23 6:00 PM EST,73,85
06-Dec-23 7:00 PM EST,73,85
06-Dec-23 8:00 PM EST,73,86
06-Dec-23 9:00 PM EST,73,85
06-Dec-23 10:00 PM EST,73,87
06-Dec-23 11:00 PM EST,73,85
07-Dec-23 12:00 AM EST,73,86
07-Dec-23 1:00 AM EST,73,86
07-Dec-23 2:00 AM EST,73,86
07-Dec-23 3:00 AM EST,73,86
07-Dec-23 4:00 AM EST,73,85
07-Dec-23 5:00 AM EST,73,86
07-Dec-23 6:00 AM EST,73,85
07-Dec-23 7:00 AM EST,73,85
07-Dec-23 8:00 AM EST,73,85
07-Dec-23 9:00 AM EST,74,83
07-Dec-23 10:00 AM EST,73,85
07-Dec-23 11:00 AM EST,74,83
07-Dec-23 12:00 PM EST,73,84
07-Dec-23 1:00 PM EST,73,83
07-Dec-23 2:00 PM EST,73,84
07-Dec-23 3:00 PM EST,73,85
07-Dec-23 4:00 PM EST,73,84
07-Dec-23 5:00 PM EST,73,84
07-Dec-23 6:00 PM EST,74,83
07-Dec-23 7:00 PM EST,74,84
07-Dec-23 8:00 PM EST,73,84
07-Dec-23 9:00 PM EST,73,84
07-Dec-23 10:00 PM EST,73,84
07-Dec-23 11:00 PM EST,73,83
08-Dec-23 12:00 AM EST,73,85
08-Dec-23 1:00 AM EST,73,85
08-Dec-23 2:00 AM EST,73,85
08-Dec-23 3:00 AM EST,73,86
08-Dec-23 4:00 AM EST,73,86
08-Dec-23 5:00 AM EST,73,86
08-Dec-23 6:00 AM EST,73,87
08-Dec-23 7:00 AM EST,73,86
08-Dec-23 8:00 AM EST,73,86
