Timestamp,RTU_K2_TAC CEAT_o(°F),RTU_K2_TAC SAT_o(°F)
30-Nov-23 11:00 PM EST,73,83
01-Dec-23 12:00 AM EST,73,85
01-Dec-23 1:00 AM EST,73,88
01-Dec-23 2:00 AM EST,73,84
01-Dec-23 3:00 AM EST,72,90
01-Dec-23 4:00 AM EST,73,84
01-Dec-23 5:00 AM EST,73,89
01-Dec-23 6:00 AM EST,73,87
01-Dec-23 7:00 AM EST,73,84
01-Dec-23 8:00 AM EST,72,91
01-Dec-23 9:00 AM EST,72,85
01-Dec-23 10:00 AM EST,72,94
01-Dec-23 11:00 AM EST,72,86
01-Dec-23 12:00 PM EST,72,88
01-Dec-23 1:00 PM EST,72,92
01-Dec-23 2:00 PM EST,73,85
01-Dec-23 3:00 PM EST,73,86
01-Dec-23 4:00 PM EST,73,91
01-Dec-23 5:00 PM EST,73,86
01-Dec-23 6:00 PM EST,73,83
01-Dec-23 7:00 PM EST,73,92
01-Dec-23 8:00 PM EST,73,89
01-Dec-23 9:00 PM EST,73,83
01-Dec-23 10:00 PM EST,73,82
01-Dec-23 11:00 PM EST,73,90
02-Dec-23 12:00 AM EST,73,87
02-Dec-23 1:00 AM EST,73,84
02-Dec-23 2:00 AM EST,73,89
02-Dec-23 3:00 AM EST,73,90
02-Dec-23 4:00 AM EST,73,87
02-Dec-23 5:00 AM EST,73,84
02-Dec-23 6:00 AM EST,73,88
02-Dec-23 7:00 AM EST,73,90
02-Dec-23 8:00 AM EST,73,88
02-Dec-23 9:00 AM EST,73,86
02-Dec-23 10:00 AM EST,73,87
02-Dec-23 11:00 AM EST,73,92
02-Dec-23 12:00 PM EST,74,79
02-Dec-23 1:00 PM EST,74,83
02-Dec-23 2:00 PM EST,73,81
02-Dec-23 3:00 PM EST,74,84
02-Dec-23 4:00 PM EST,74,81
02-Dec-23 5:00 PM EST,74,80
02-Dec-23 6:00 PM EST,74,79
02-Dec-23 7:00 PM EST,74,85
02-Dec-23 8:00 PM EST,74,79
02-Dec-23 9:00 PM EST,74,84
02-Dec-23 10:00 PM EST,74,80
02-Dec-23 11:00 PM EST,74,79
03-Dec-23 12:00 AM EST,73,86
03-Dec-23 1:00 AM EST,73,82
03-Dec-23 2:00 AM EST,73,80
