Date-Time,"Space Temperature (No Units)"
2024-12-12 20:24:35,69
2024-12-12 20:29:35,69
2024-12-12 20:34:35,68.5
2024-12-12 20:39:35,68.5
2024-12-12 20:44:35,68.5
2024-12-12 20:49:35,69
2024-12-12 20:54:35,69
2024-12-12 20:59:35,68.5
2024-12-12 21:04:35,69
2024-12-12 21:09:35,69
2024-12-12 21:14:35,69
2024-12-12 21:19:35,69
2024-12-12 21:24:35,69
2024-12-12 21:29:35,69
2024-12-12 21:34:35,69
2024-12-12 21:39:35,69
2024-12-12 21:44:35,69
2024-12-12 21:49:35,69
2024-12-12 21:54:35,69
2024-12-12 21:59:35,69
2024-12-12 22:04:35,69
2024-12-12 22:09:35,69
2024-12-12 22:14:35,69
2024-12-12 22:19:35,69
2024-12-12 22:24:35,69
2024-12-12 22:29:35,69
2024-12-12 22:34:35,68.5
2024-12-12 22:39:35,69
2024-12-12 22:44:35,69
2024-12-12 22:49:35,69
2024-12-12 22:54:35,69
2024-12-12 22:59:35,69
2024-12-12 23:04:35,69
2024-12-12 23:09:35,69
2024-12-12 23:14:35,69
2024-12-12 23:19:35,69
2024-12-12 23:24:35,69
2024-12-12 23:29:35,69
2024-12-12 23:34:35,69
2024-12-12 23:39:35,69
2024-12-12 23:44:35,69
2024-12-12 23:49:35,69
2024-12-12 23:54:35,69
2024-12-12 23:59:35,69
2024-12-13 00:04:35,69
2024-12-13 00:09:35,69
2024-12-13 00:14:35,69
2024-12-13 00:19:35,69
2024-12-13 00:24:35,69
2024-12-13 00:29:35,69
2024-12-13 00:34:35,69
2024-12-13 00:39:35,69
2024-12-13 00:44:35,69
2024-12-13 00:49:35,69
2024-12-13 00:54:35,69
2024-12-13 00:59:35,69
2024-12-13 01:04:35,69
2024-12-13 01:09:35,69
2024-12-13 01:14:35,69
2024-12-13 01:19:35,69
2024-12-13 01:24:35,69
2024-12-13 01:29:35,69
2024-12-13 01:34:35,69
2024-12-13 01:39:35,69
2024-12-13 01:44:35,69
2024-12-13 01:49:35,69
2024-12-13 01:54:35,69
2024-12-13 01:59:35,69
2024-12-13 02:04:35,69
2024-12-13 02:09:35,69
2024-12-13 02:14:35,69
2024-12-13 02:19:35,69
2024-12-13 02:24:35,69
2024-12-13 02:29:35,69
